Number of nodes 5890 
   496 :  2.6308398e+01  4.0166238e+01 
   497 :  2.6449973e+01  4.0269447e+01 
   498 :  2.6593361e+01  4.0371364e+01 
   499 :  2.6743313e+01  4.0467710e+01 
   500 :  2.6916919e+01  4.0537322e+01 
   501 :  2.7095376e+01  4.0600247e+01 
   502 :  2.7492880e+01  4.0922418e+01 
   503 :  2.7660418e+01  4.0993443e+01 
   504 :  2.7856648e+01  4.0986834e+01 
   505 :  2.8036082e+01  4.1034889e+01 
   506 :  2.8228641e+01  4.1061058e+01 
   507 :  2.8421947e+01  4.1031650e+01 
   508 :  2.8605044e+01  4.0975324e+01 
   509 :  2.8791384e+01  4.0988012e+01 
   510 :  2.8897313e+01  4.1113546e+01 
   511 :  2.9161009e+01  4.1072467e+01 
   512 :  2.9163572e+01  4.0915607e+01 
   513 :  2.9322239e+01  4.0810661e+01 
   514 :  2.9523713e+01  4.0770617e+01 
   515 :  2.9734131e+01  4.0761112e+01 
   516 :  2.9773770e+01  4.0708674e+01 
   517 :  2.9563829e+01  4.0690729e+01 
   518 :  2.9354028e+01  4.0674585e+01 
   519 :  2.9144340e+01  4.0658268e+01 
   520 :  2.8943897e+01  4.0614367e+01 
   521 :  2.8835749e+01  4.0507904e+01 
   522 :  2.9035125e+01  4.0461075e+01 
   523 :  2.9029783e+01  4.0368894e+01 
   524 :  2.8823505e+01  4.0381735e+01 
   525 :  2.8613690e+01  4.0383717e+01 
   526 :  2.8404208e+01  4.0396920e+01 
   527 :  2.8193953e+01  4.0394796e+01 
   528 :  2.8010277e+01  4.0407316e+01 
   529 :  2.7874785e+01  4.0507543e+01 
   530 :  2.7727219e+01  4.0447176e+01 
   531 :  2.7725557e+01  4.0315185e+01 
   532 :  2.7517119e+01  4.0315233e+01 
   533 :  2.7335830e+01  4.0391299e+01 
   534 :  2.7153165e+01  4.0432430e+01 
   535 :  2.6948139e+01  4.0398352e+01 
   536 :  2.6749723e+01  4.0351186e+01 
   537 :  2.6580376e+01  4.0256635e+01 
   538 :  2.6421837e+01  4.0151802e+01 
   539 :  2.6272084e+01  4.0039899e+01 
   540 :  2.6163161e+01  3.9906024e+01 
   541 :  2.6155170e+01  3.9746063e+01 
   542 :  2.6123066e+01  3.9588838e+01 
   543 :  2.6207901e+01  3.9473126e+01 
   544 :  2.6408760e+01  3.9504472e+01 
   545 :  2.6609109e+01  3.9546163e+01 
   546 :  2.6814339e+01  3.9558833e+01 
   547 :  2.6857811e+01  3.9442413e+01 
   548 :  2.6711946e+01  3.9328810e+01 
   549 :  2.6764037e+01  3.9192569e+01 
   550 :  2.6826603e+01  3.9048602e+01 
   551 :  2.6913698e+01  3.8941841e+01 
   552 :  2.6977925e+01  3.8849263e+01 
   553 :  2.6823383e+01  3.8747327e+01 
   554 :  2.6818712e+01  3.8614745e+01 
   555 :  2.6961355e+01  3.8503548e+01 
   556 :  2.7012360e+01  3.8414812e+01 
   557 :  2.6812396e+01  3.8390929e+01 
   558 :  2.6654909e+01  3.8434301e+01 
   559 :  2.6575548e+01  3.8581120e+01 
   560 :  2.6413815e+01  3.8661440e+01 
   561 :  2.6383362e+01  3.8520750e+01 
   562 :  2.6423486e+01  3.8365508e+01 
   563 :  2.6267428e+01  3.8270286e+01 
   564 :  2.6440511e+01  3.8195981e+01 
   565 :  2.6619734e+01  3.8161296e+01 
   566 :  2.6796554e+01  3.8157795e+01 
   567 :  2.6934267e+01  3.8061178e+01 
   568 :  2.7121497e+01  3.8006373e+01 
   569 :  2.7259842e+01  3.7901754e+01 
   570 :  2.7235713e+01  3.7742926e+01 
   571 :  2.7213712e+01  3.7583796e+01 
   572 :  2.7198649e+01  3.7427378e+01 
   573 :  2.7386014e+01  3.7385779e+01 
   574 :  2.7509857e+01  3.7265925e+01 
   575 :  2.7546897e+01  3.7147636e+01 
   576 :  2.7355559e+01  3.7128526e+01 
   577 :  2.7254180e+01  3.7018246e+01 
   578 :  2.7425532e+01  3.7007429e+01 
   579 :  2.7624767e+01  3.6995139e+01 
